probability_threshold,precision,recall,f1_score,false_positive_rate,false_negative_rate,true_positives,false_positives
0.3,0.26288056206088994,0.03546043279102827,0.062491301322199024,0.0054352987903330255,0.9645395672089717,449,1259
0.4,0.2867579908675799,0.024798610014215763,0.04564948753361925,0.0033716984553217575,0.9752013899857842,314,781
0.5,0.3383233532934132,0.017848681093034276,0.03390847711927982,0.0019081827365585364,0.9821513189069657,226,442
0.6,0.34515366430260047,0.011530563891960196,0.0223156285823462,0.001195852076983517,0.9884694361080398,146,277
0.7,0.3170731707317073,0.006160164271047228,0.012085528354508832,0.0007252821261127468,0.9938398357289527,78,168
