regime,sample_count,proposed_mae,proposed_rmse,proposed_bias,tcn_mae,persistence_mae,mean_actual,mean_predicted,max_actual,max_predicted
<100 µg/m³,115494,35.30604553222656,48.92795045715179,30.045879364013672,36.8397331237793,53.18384552001953,58.91436767578125,88.96024322509766,99.75,362.5347595214844
100–200 µg/m³,72086,42.37593460083008,54.09594341306934,-9.519242286682129,47.517494201660156,71.3128890991211,142.94671630859375,133.42747497558594,199.75,479.58367919921875
200–345 µg/m³,44054,89.1331787109375,103.93199868934735,-83.14733123779297,100.88105773925781,104.67184448242188,255.72506713867188,172.57772827148438,344.25,461.32647705078125
>=345 µg/m³,12662,219.7788848876953,235.44525637608416,-219.66114807128906,223.0108642578125,199.7925262451172,417.93548583984375,198.27432250976562,818.25,490.18743896484375
>=500 µg/m³,1430,378.132080078125,388.59534705140254,-378.132080078125,373.7185363769531,347.3348693847656,590.8930053710938,212.76092529296875,818.25,476.6995849609375
>=600 µg/m³,684,429.0479736328125,437.55722839989744,-429.0479736328125,465.8653259277344,413.83160400390625,654.8516235351562,225.8036346435547,818.25,476.6995849609375
