epoch,train_loss,val_loss,train_base_mse,val_base_mse,train_spike_mse,val_spike_mse,train_aux_bce,val_aux_bce,lr,epoch_duration_sec
1,0.6966879650799915,0.907336449853971,0.35054906093913696,0.4694523402607777,0.6042139579350699,0.7992018312740494,0.22015963341752287,0.19141595707189712,0.001,204.87122535705566
2,0.36821531547039044,1.040695991681915,0.19137703996114055,0.5682048833417431,0.31159233444868917,0.8502768137636529,0.10521053620661149,0.23676351768712342,0.001,153.30263757705688
3,0.25288356986110055,1.0232571099530643,0.13320612995211123,0.5394926875777227,0.20890965821967783,0.857748467606348,0.0761130511233903,0.27445092157445994,0.001,210.05310916900635
4,0.19888187232442978,0.966640589234065,0.10520391575114092,0.5126178414810082,0.16356261009319062,0.7967797378340448,0.059483255287914566,0.2781644081030759,0.001,279.1175682544708
5,0.16768433128543173,1.0531128048109757,0.08877720343896034,0.5492441507554809,0.13856711878318978,0.8787168615143484,0.048117841258394196,0.3225511859293452,0.001,118.79388880729675
6,0.128327461304488,0.9844840387223472,0.06857584731697233,0.512413133145638,0.10502677255306983,0.8129195761407765,0.03619113839184395,0.32805559969434195,0.0005,279.0816128253937
7,0.11759749516493544,0.9932425078266943,0.06281256887698013,0.5194529877765708,0.0968549235250412,0.8036383517794836,0.03178732252682901,0.359851717079949,0.0005,137.58071970939636
8,0.11147901832254647,0.9932197569803872,0.05958468014192501,0.5120986690351241,0.09231559411694706,0.8111761051531828,0.02868270544767982,0.3776651977965025,0.0005,112.47283005714417
