epoch,train_loss,val_loss,train_mae_scaled,val_mae_scaled,learning_rate
1,0.5017693346219764,0.8322559017766803,0.47983926327032217,0.6238946154259266,0.001
2,0.22210223317710828,0.5353138930357673,0.3280031847988295,0.49470813426147875,0.001
3,0.16900019893925994,0.6902412200011205,0.2863479134331437,0.5828113566255771,0.001
4,0.13587022733136372,0.5940255011584641,0.257028460748821,0.5497342910581937,0.001
5,0.11117074700389463,0.5521075859808482,0.23264197372850762,0.5171936284506106,0.001
6,0.09763601000796365,0.7165218603364243,0.2176162006399626,0.5805976154967137,0.001
7,0.07606748195501793,0.6877161675934375,0.19227265219364126,0.5622108735885383,0.0005
8,0.06924915034534648,0.6141183878169303,0.18346727241954813,0.5346695837665714,0.0005
9,0.0648656926257254,0.6005347148628668,0.17776763990297972,0.5375729472128289,0.0005
