horizon,proposed_mae,proposed_rmse,tcn_mae,tcn_rmse,mae_improvement_ugm3,rmse_improvement_ugm3
1,52.16396713256836,76.4757544299172,54.50411605834961,73.18727649944525,2.34014892578125,-3.288477930471956
2,52.62381362915039,76.97381225740024,53.19150161743164,73.68768553835844,0.56768798828125,-3.2861267190418033
3,52.55958938598633,77.14346858998337,54.86388397216797,78.81072497505495,2.3042945861816406,1.6672563850715818
4,52.939388275146484,77.19667518848367,57.52374267578125,82.89400764775613,4.584354400634766,5.6973324592724595
5,54.429683685302734,79.1025003802424,59.405235290527344,86.01414196042126,4.975551605224609,6.911641580178852
6,54.93027114868164,79.8439395790313,60.547367095947266,87.95273222287497,5.617095947265625,8.108792643843671
7,55.74333190917969,81.1626333165392,61.76956558227539,89.7699261915565,6.026233673095703,8.607292875017293
8,55.897544860839844,81.52414088400441,62.211238861083984,90.80247170197241,6.313694000244141,9.278330817967998
9,56.4360466003418,82.19721306673055,61.67707824707031,90.68746769468756,5.241031646728516,8.490254627957
10,56.58036422729492,82.32538042255712,61.5970573425293,91.01169117035184,5.016693115234375,8.686310747794721
11,56.67923355102539,82.30177120189303,61.53350830078125,91.24825554839391,4.854274749755859,8.946484346500881
12,56.84835433959961,82.40900521560128,61.5140495300293,91.37810998469492,4.6656951904296875,8.969104769093633
13,56.873939514160156,82.34897990981734,61.4232177734375,91.53022041926917,4.549278259277344,9.181240509451825
14,56.944305419921875,82.52355842613974,61.434322357177734,91.85245790634838,4.490016937255859,9.328899480208634
15,57.01542282104492,82.65008542702029,61.62649154663086,92.37632145536539,4.6110687255859375,9.726236028345099
16,56.925758361816406,82.59877491335752,61.72916030883789,92.52567211320326,4.803401947021484,9.92689719984574
17,56.819435119628906,82.52614997494733,60.91164779663086,91.21498150831638,4.092212677001953,8.688831533369054
18,56.698944091796875,82.4676546441088,60.80868148803711,91.14699344499796,4.109737396240234,8.679338800889155
19,56.55402374267578,82.42332492800506,60.66569900512695,91.11277674364611,4.111675262451172,8.68945181564105
20,56.40694808959961,82.36414892016884,60.692527770996094,91.20056987383632,4.285579681396484,8.83642095366747
21,56.22883605957031,82.09646217445975,60.7017822265625,90.95575418163493,4.4729461669921875,8.859292007175185
22,56.04585647583008,81.7254239626507,60.71603012084961,90.79453968989544,4.670173645019531,9.06911572724475
23,55.887638092041016,81.41243078743412,60.78706741333008,90.83251026958905,4.8994293212890625,9.420079482154932
24,55.769989013671875,81.17761198446281,60.817806243896484,90.7907912369834,5.047817230224609,9.613179252520581
25,55.701271057128906,81.06992665478673,60.672725677490234,91.01856889015835,4.971454620361328,9.948642235371622
26,55.65910339355469,80.95841006440436,60.726463317871094,91.16347031740564,5.067359924316406,10.205060253001278
27,55.66399383544922,80.86657727585916,60.95467758178711,91.49284359821537,5.290683746337891,10.626266322356216
28,55.69254684448242,80.86219650874412,61.17073440551758,91.90607998964214,5.478187561035156,11.043883480898018
29,55.80280685424805,80.98451819638122,61.20885467529297,91.87346406029056,5.406047821044922,10.888945863909342
30,55.896671295166016,81.10995442626786,61.24433135986328,91.94351187006073,5.347660064697266,10.83355744379287
31,56.00192642211914,81.23078498751258,61.200679779052734,91.87429846670939,5.198753356933594,10.643513479196812
32,56.0455322265625,81.25312493990616,61.16742706298828,91.88355614920985,5.121894836425781,10.630431209303694
33,56.07295227050781,81.26202134626759,61.05628204345703,91.53779530199535,4.983329772949219,10.275773955727757
34,56.124549865722656,81.30563900243175,61.160579681396484,91.94055378170995,5.036029815673828,10.634914779278205
35,56.1552734375,81.36124595745815,60.90144729614258,91.88815275751004,4.746173858642578,10.52690680005189
36,56.25305938720703,81.42828696447414,61.04351043701172,92.21092393088522,4.7904510498046875,10.782636966411076
37,56.41408920288086,81.70922506631365,61.202274322509766,92.42796498321003,4.788185119628906,10.718739916896382
38,56.552818298339844,81.9220552997253,61.44650650024414,92.85538781823594,4.893688201904297,10.933332518510639
39,56.66742706298828,82.10077113580451,61.64706802368164,93.21610476468109,4.979640960693359,11.115333628876584
40,56.803565979003906,82.34450011517922,61.853336334228516,93.5252409947443,5.049770355224609,11.180740879565079
41,56.86314010620117,82.5028970845494,61.85947036743164,93.73415491097683,4.996330261230469,11.231257826427424
42,56.92365646362305,82.65562086244498,61.96453094482422,93.9320264123877,5.040874481201172,11.276405549942723
43,57.018253326416016,82.7919520498143,62.14015579223633,94.18245051162664,5.1219024658203125,11.390498461812342
44,57.10890579223633,82.87614005154771,62.281131744384766,94.35827666400017,5.1722259521484375,11.482136612452464
45,57.199562072753906,82.91645303312093,62.43132019042969,94.44506401706496,5.231758117675781,11.528610983944034
46,57.226173400878906,82.93545412416363,62.45622253417969,94.46354496907789,5.230049133300781,11.52809084491426
47,57.28670120239258,83.0013412918731,62.485477447509766,94.51587168301417,5.1987762451171875,11.514530391141065
48,57.37846755981445,83.21356888678072,62.5349006652832,94.59285182923443,5.15643310546875,11.379282942453713
49,57.42598342895508,83.36848444837383,62.22858810424805,94.25985836207,4.802604675292969,10.891373913696171
50,57.46455001831055,83.55966302682323,62.21046829223633,94.31844849531029,4.745918273925781,10.758785468487062
51,57.51702880859375,83.88904327760122,62.18375015258789,94.46134295308319,4.666721343994141,10.572299675481972
52,57.56239700317383,84.2142942930786,62.152931213378906,94.60555963611493,4.590534210205078,10.391265343036338
53,57.68068313598633,84.51269147016471,62.09143829345703,94.60766539537111,4.410755157470703,10.094973925206403
54,57.74956130981445,84.61123180095537,62.05055618286133,94.57901685726861,4.300994873046875,9.967785056313247
55,57.85185623168945,84.73593806183271,62.049339294433594,94.55773905728182,4.197483062744141,9.82180099544911
56,57.92387008666992,84.86704042666534,62.061981201171875,94.58677604784403,4.138111114501953,9.719735621178685
57,58.00572967529297,85.00766854194686,61.81819152832031,94.20836385540564,3.8124618530273438,9.20069531345878
58,58.10680389404297,85.15741971673695,61.907012939453125,94.30133196799237,3.8002090454101562,9.143912251255415
